time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Zone,.Letter
2022/09/23/15:30:18.321208,0,70218,0,GPS1_Frame,42.3326416666667,-71.0925816666667,18,327599.236583345,4688830.7558585,19,T
2022/09/23/15:30:19.350844,0,70219,0,GPS1_Frame,42.3326366666667,-71.09259,17.9,327598.536337323,4688830.2175413,19,T
2022/09/23/15:30:20.316412,0,70220,0,GPS1_Frame,42.3326316666667,-71.0926,17.8,327597.698774338,4688829.68260308,19,T
2022/09/23/15:30:21.320659,0,70221,0,GPS1_Frame,42.3326266666667,-71.0926083333333,17.9,327596.998528089,4688829.14428603,19,T
2022/09/23/15:30:22.318300,0,70222,0,GPS1_Frame,42.33262,-71.0926183333333,18,327596.156410845,4688828.42427744,19,T
2022/09/23/15:30:23.354832,0,70223,0,GPS1_Frame,42.3326133333333,-71.0926266666667,17.9,327595.451610327,4688827.70089,19,T
2022/09/23/15:30:24.318109,0,70224,0,GPS1_Frame,42.3326083333333,-71.092635,17.8,327594.751363709,4688827.16257317,19,T
2022/09/23/15:30:25.318884,0,70225,0,GPS1_Frame,42.3326016666667,-71.0926433333333,17.7,327594.046562922,4688826.43918586,19,T
2022/09/23/15:30:26.385646,0,70226,0,GPS1_Frame,42.3325966666667,-71.0926516666667,17.4,327593.34631607,4688825.90086916,19,T
2022/09/23/15:30:27.354850,0,70227,0,GPS1_Frame,42.3325916666667,-71.09266,17.1,327592.64606911,4688825.36255253,19,T
2022/09/23/15:30:28.315031,0,70228,0,GPS1_Frame,42.332585,-71.09267,17.1,327591.80395097,4688824.64254444,19,T
2022/09/23/15:30:29.319533,0,70229,0,GPS1_Frame,42.33258,-71.09268,16.9,327590.966386794,4688824.107607,19,T
2022/09/23/15:30:30.318715,0,70230,0,GPS1_Frame,42.3325766666667,-71.0926916666667,16.9,327589.996059672,4688823.76111924,19,T
2022/09/23/15:30:31.317798,0,70231,0,GPS1_Frame,42.3325733333333,-71.092705,17,327588.888415459,4688823.4180107,19,T
2022/09/23/15:30:32.317478,0,70232,0,GPS1_Frame,42.33257,-71.09272,17,327587.64345414,4688823.07828143,19,T
2022/09/23/15:30:33.354934,0,70233,0,GPS1_Frame,42.3325666666667,-71.0927316666667,17,327586.673126688,4688822.73179413,19,T
2022/09/23/15:30:34.318363,0,70234,0,GPS1_Frame,42.3325633333333,-71.0927416666667,17,327585.840116142,4688822.38192783,19,T
2022/09/23/15:30:35.319726,0,70235,0,GPS1_Frame,42.3325583333333,-71.0927516666667,17.1,327585.002551218,4688821.84699107,19,T
2022/09/23/15:30:36.312348,0,70236,0,GPS1_Frame,42.3325516666667,-71.09276,17.2,327584.297748883,4688821.12360471,19,T
2022/09/23/15:30:37.348289,0,70237,0,GPS1_Frame,42.332545,-71.0927683333333,17.2,327583.592946403,4688820.4002184,19,T
2022/09/23/15:30:38.320659,0,70238,0,GPS1_Frame,42.3325366666667,-71.0927783333333,17.2,327582.746272371,4688819.49514082,19,T
2022/09/23/15:30:39.319560,0,70239,0,GPS1_Frame,42.3325316666667,-71.0927883333333,17.4,327581.908706864,4688818.96020442,19,T
2022/09/23/15:30:40.315429,0,70240,0,GPS1_Frame,42.332525,-71.0928,17.4,327580.929269743,4688818.24357681,19,T
2022/09/23/15:30:41.318991,0,70241,0,GPS1_Frame,42.3325183333333,-71.0928116666667,17.7,327579.94983242,4688817.52694933,19,T
2022/09/23/15:30:42.421537,0,70242,0,GPS1_Frame,42.33251,-71.0928233333333,17.7,327578.965840451,4688816.62525143,19,T
2022/09/23/15:30:43.316558,0,70243,0,GPS1_Frame,42.3325016666667,-71.0928366666667,17.7,327577.844531087,4688815.72693296,19,T
2022/09/23/15:30:44.351259,0,70244,0,GPS1_Frame,42.3324983333333,-71.0928466666667,18.1,327577.011519242,4688815.37706767,19,T
